query,exists,name,company_type,claimed,phone_number,address,website,Friday_hours,Saturday_hours,Sunday_hours,Monday_hours,Tuesday_hours,Wednesday_hours,Thursday_hours
ÔªøSEAIR EXIM SOLUTIONS,TRUE,Seair Exim Solutions,"""YhemCb"">Market researcher in New Delhi",FALSE,099900 20716</span></a>,"B1/E3 Mohan Cooperative Industrial Estate Near Mohan Estate Metro Station Opposite Metro Pillar No:-336, Mathura Rd, New Delhi, Delhi 110044",https://www.seair.co.in/,10amñ6:30pm,Closed,Closed,10amñ6:30pm,10amñ6:30pm,10amñ6:30pm,10amñ6:30pm
YIWU GENG WEI COMMODITY PURCHASE CO,FALSE,,,,,,,,,,,,,
YIWU GENG WEI COMMODITY PURCHASE CO,FALSE,,,,,,,,,,,,,
YINING CITY HUAFENG PLASTIC CO,FALSE,,,,,,,,,,,,,
WORLD PEACE INTERNATIONAL SOUTH AS,TRUE,World Peace International (South Asia) Pte Ltd,"""YhemCb"">Business networking company in Singapore",FALSE,+65 6783 3133</span></a>,"10 Upper Aljunied Link, #06-07, Singapore 367904",http://www.genuineasia.com/,8:30amñ5:30pm,Closed,Closed,8:30amñ5:30pm,8:30amñ5:30pm,8:30amñ5:30pm,8:30amñ5:30pm
WILLIAM COOK RAIL LIMITED,TRUE,William Cook Rail,"""YhemCb"">Manufacturer in Leeds, England",FALSE,+44 113 249 6363</span></a>,"Cross Green, Leeds LS9 0DX, United Kingdom",https://www.william-cook.co.uk/,6amñ4pm,Closed,Closed,6amñ4pm,6amñ4pm,6amñ4pm,6amñ4pm
WALKER TAPE COMPANY INC,TRUE,Walker Tape Co.,"""YhemCb"">Manufacturer in West Jordan, Utah",FALSE,+1 801-282-2015</span></a>,"9312 S Prosperity Rd, West Jordan, UT 84081, United States",http://www.walkertapeconverting.com/,7:30amñ4pm,Closed,Closed,7:30amñ4pm,7:30amñ4pm,7:30amñ4pm,7:30amñ4pm
VOESTALPINE BOHLER WELDING GERMANY GMBH,TRUE,voestalpine Bˆhler Welding Germany GmbH,"""YhemCb"">Steel fabricator in Hamm, Germany",TRUE,+49 2381 27101</span></a>,"Hafenstraﬂe 21, 59067 Hamm, Germany",http://www.voestalpine.com/welding,,,,,,,
VOESTALPINE BOHLER WELDING BELGIUM,TRUE,voestalpine Bohler Welding India Technology Pvt. Ltd. (Formerly known as Maruti Weld Pvt. Ltd.),"""YhemCb"">Corporate office",FALSE,011 6536 3100</span></a>,"D-21,, D-21, Shahabad Mohammadpur, New Delhi, Delhi 110077",http://voestalpine.com/welding/india,9amñ6pm,Closed,Closed,9amñ6pm,9amñ6pm,9amñ6pm,9amñ6pm
VITROMED GMBH,TRUE,VITROMED GmbH,"""YhemCb"">Medical technology manufacturer in Jena, Germany",FALSE,+49 3641 5391976</span></a>,"Hans-Knˆll-Straﬂe 6, 07745 Jena, Germany",https://www.vitromed.com/,8amñ5pm,Closed,Closed,8amñ5pm,8amñ5pm,8amñ5pm,8amñ5pm
VERTIV TECH CO LIMITED,TRUE,Vertiv Energy Private Limited,"""YhemCb"">Inverter and ups manufacturer in Haryana",TRUE,0124 265 1100</span></a>,"5th Floor, B Block, Sewa Towers, Plot No.19, Sector - 18, Udyog Vihar, Gurugram, Haryana 122015",https://www.vertivco.com/en-in/,9:30amñ7pm,Closed,Closed,9:30amñ7pm,9:30amñ7pm,9:30amñ7pm,9:30amñ7pm
TYCO ELECTRONICS MIDDLE EAST FZE,TRUE,TYCO ELECTRONICS MIDDLE EAST FZE,"""YhemCb"">Repair service in Dubai, United Arab Emirates",FALSE,+971 4 211 7000</span></a>,Near Food Court Building - LOB # 15 6 E St - Dubai - United Arab Emirates,#,,,,,,,
TIAN TIAN XING PENS MANUFAVTURER CO LIMITED,FALSE,,,,,,,,,,,,,
THE PROCTER AND GAMBLE DISTRIBUTING LLC,FALSE,,,,,,,,,,,,,
TECNOMIC COMPONENTS PRIVATE LIMITED,TRUE,Tecnomic Components Pvt. Ltd.,"""YhemCb"">Electronics company in Noida, Uttar Pradesh",FALSE,0120 240 0906</span></a>,"A201, Highway Tower, Tower1,Plot #A13, Sector 62, Noida, Uttar Pradesh 201309",http://www.tecnomic.com/,9amñ5pm,Closed,Closed,9amñ5pm,9amñ5pm,9amñ5pm,9amñ5pm
SUNSHINE GLOBAL EXPORTS CO LIMITED,TRUE,Seair Exim Solutions,"""YhemCb"">Market researcher in New Delhi",FALSE,099900 20716</span></a>,"B1/E3 Mohan Cooperative Industrial Estate Near Mohan Estate Metro Station Opposite Metro Pillar No:-336, Mathura Rd, New Delhi, Delhi 110044",https://www.seair.co.in/,10amñ6:30pm,Closed,Closed,10amñ6:30pm,10amñ6:30pm,10amñ6:30pm,10amñ6:30pm
SHREE KEDAR TRADE SUPPLIERS,FALSE,,,,,,,,,,,,,
SHIMADZU ASIA PACIFIC PRIVATE LIMITED,TRUE,Shimadzu,"""YhemCb"">Corporate office",FALSE,+65 6778 6280</span></a>,"79 Science Park Dr, #02-01/08 Cintech IV, Singapore 118264",http://www.shimadzu.com.sg/,8:30amñ5pm,Closed,Closed,8:30amñ5pm,8:30amñ5pm,8:30amñ5pm,8:30amñ5pm
SEW EURODRIVE GMBH AND CO,FALSE,,,,,,,,,,,,,
